date,Actual,GBDT,Discount
2014-06-16,1.0,0.6122766588650635,
2014-06-17,0.0,0.6122766588650635,
2014-06-18,0.0,0.6122766588650635,
2014-06-19,0.0,0.6122766588650635,
2014-06-20,0.0,0.6122766588650635,
2014-06-21,3.0,0.6122766588650635,
2014-06-22,1.0,0.6122766588650635,
2014-06-23,0.0,0.6122766588650635,
2014-06-24,0.0,0.6122766588650635,
2014-06-25,1.0,0.6122766588650635,
2014-06-26,0.0,0.6122766588650635,
2014-06-27,0.0,0.6122766588650635,
2014-06-28,0.0,0.6122766588650635,
2014-06-29,1.0,0.6122766588650635,
2014-06-30,0.0,0.6122766588650635,
2014-07-01,1.0,0.6122766588650635,
2014-07-02,1.0,0.6122766588650635,
2014-07-03,0.0,0.6122766588650635,
2014-07-04,0.0,0.6122766588650635,
