date,id_sku,salesvolume
2009-03-19,46902,4
2009-03-19,59042,0
2009-03-20,15604,1
2009-03-20,46902,0
2009-03-20,59042,4
2009-03-21,15604,3
2009-03-21,46902,5
2009-03-21,59042,3
2009-03-22,15604,0
2009-03-22,46902,3
2009-03-22,59042,2
2009-03-23,15604,2
2009-03-23,46902,1
2009-03-23,59042,2
2009-03-24,15604,0
2009-03-24,46902,2
2009-03-24,59042,3
2009-03-25,15604,1
2009-03-25,46902,4
2009-03-25,59042,1
2009-03-26,15604,4
2009-03-26,46902,1
2009-03-26,59042,1
2009-03-27,15604,4
2009-03-27,46902,2
2009-03-27,59042,2
2009-03-28,15604,1
2009-03-28,46902,2
2009-03-28,59042,3
2009-03-29,15604,2
2009-03-29,46902,1
2009-03-29,59042,1
2009-03-30,15604,3
2009-03-30,46902,1
2009-03-30,59042,1
2009-03-31,15604,0
2009-03-31,46902,2
2009-03-31,59042,0
2009-04-01,15604,3
2009-04-01,46902,7
2009-04-01,59042,3
2009-04-02,15604,0
2009-04-02,46902,7
2009-04-02,59042,1
2009-04-03,15604,4
2009-04-03,46902,5
2009-04-03,59042,3
2009-04-04,15604,0
2009-04-04,46902,7
2009-04-04,59042,2
2009-04-05,15604,0
2009-04-05,46902,7
2009-04-05,59042,2
2009-04-06,15604,2
2009-04-06,46902,7
2009-04-06,59042,3
2009-04-07,15604,0
2009-04-07,46902,7
2009-04-07,59042,2
2009-04-08,15604,1
2009-04-08,46902,1
2009-04-08,59042,1
2009-04-09,15604,1
2009-04-09,46902,4
2009-04-09,59042,4
2009-04-10,15604,0
2009-04-10,46902,2
2009-04-10,59042,6
2009-04-11,15604,0
2009-04-11,46902,0
2009-04-11,59042,2
2009-04-12,15604,0
2009-04-12,46902,2
2009-04-12,59042,1
2009-04-13,15604,2
2009-04-13,46902,1
2009-04-13,59042,4
2009-04-14,15604,1
2009-04-14,46902,0
2009-04-14,59042,2
2009-04-15,15604,1
2009-04-15,46902,2
2009-04-15,59042,3
2009-04-16,15604,0
2009-04-16,46902,2
2009-04-16,59042,2
2009-04-17,15604,2
2009-04-17,46902,0
2009-04-17,59042,2
2009-04-18,15604,0
2009-04-18,46902,1
2009-04-18,59042,3
2009-04-19,15604,0
2009-04-19,46902,2
2009-04-19,59042,2
2009-04-20,15604,2
2009-04-20,46902,0
2009-04-20,59042,2
2009-04-21,15604,0
2009-04-21,46902,2
2009-04-21,59042,1
2009-04-22,15604,0
2009-04-22,46902,1
2009-04-22,59042,0
2009-04-23,15604,1
2009-04-23,46902,1
2009-04-23,59042,1
2009-04-24,15604,0
2009-04-24,46902,0
2009-04-24,59042,0
2009-04-24,415514,0
2009-04-25,15604,0
2009-04-25,46902,2
2009-04-25,59042,1
2009-04-25,415514,0
2009-04-26,15604,0
2009-04-26,46902,3
2009-04-26,59042,1
2009-04-26,415514,2
2009-04-27,15604,0
2009-04-27,46902,3
2009-04-27,59042,4
2009-04-27,415514,0
2009-04-28,15604,0
2009-04-28,46902,0
2009-04-28,59042,2
2009-04-28,415514,1
2009-04-29,15604,0
2009-04-29,46902,1
2009-04-29,59042,1
2009-04-29,415514,1
2009-04-30,15604,0
2009-04-30,46902,0
2009-04-30,59042,3
2009-04-30,415514,2
2009-05-01,15604,1
2009-05-01,46902,0
2009-05-01,59042,4
2009-05-01,415514,1
2009-05-02,15604,0
2009-05-02,46902,0
2009-05-02,59042,2
2009-05-02,415514,0
2009-05-03,15604,0
2009-05-03,46902,1
2009-05-03,59042,3
2009-05-03,415514,0
2009-05-04,15604,1
2009-05-04,46902,0
2009-05-04,59042,3
2009-05-04,415514,0
2009-05-05,15604,0
2009-05-05,46902,0
2009-05-05,59042,1
2009-05-05,415514,0
2009-05-06,15604,1
2009-05-06,46902,0
2009-05-06,59042,1
2009-05-06,415514,2
2009-05-07,15604,1
2009-05-07,46902,1
2009-05-07,59042,1
2009-05-07,415514,0
2009-05-08,15604,0
2009-05-08,46902,0
2009-05-08,59042,5
2009-05-08,415514,0
2009-05-08,415824,0
2009-05-09,15604,0
2009-05-09,46902,2
2009-05-09,59042,3
2009-05-09,415514,2
2009-05-09,415824,0
2009-05-10,15604,0
2009-05-10,46902,4
2009-05-10,59042,4
2009-05-10,415514,0
2009-05-10,415824,0
2009-05-11,15604,1
2009-05-11,46902,3
2009-05-11,59042,3
2009-05-11,415514,0
2009-05-11,415824,0
2009-05-12,15604,1
2009-05-12,46902,2
2009-05-12,59042,0
2009-05-12,415514,2
2009-05-12,415824,0
2009-05-13,15604,1
2009-05-13,46902,0
2009-05-13,59042,0
2009-05-13,415514,0
2009-05-13,415824,0
2009-05-14,15604,0
2009-05-14,46902,2
2009-05-14,59042,3
2009-05-14,415514,0
2009-05-14,415824,0
